id,date,primary_case,Address,council_district,case_number,mnd,publication
103,2001-11-15,ENV-2001-4463,2307 S. La Brea Ave; West Adams-Baldwin Hills-Leimert,CD10,ENV-2001-4463,,https//planning.lacity.org/eir/publication/Pub_111501.htm#4463
104,2001-11-15,ENV-2001-4591,1241 & 1243 Westgate Ave; West Los Angeles,CD11,ENV-2001-4591,,https//planning.lacity.org/eir/publication/Pub_111501.htm#4591
105,2001-11-15,ENV-2001-4678,1241 & 1243 Westgate Ave; West Los Angeles,CD11,ENV-2001-4678,,https//planning.lacity.org/eir/publication/Pub_111501.htm#4678
106,2001-11-08,ENV-2001-2603,12700 Sheldon Street; Sun Valley,CD2,ENV-2001-2603,,https//planning.lacity.org/eir/publication/Pub_110801.htm#2603
107,2001-11-08,ENV-2001-3170,3375 S. Hoover Street; South Central Los Angeles,CD8,ENV-2001-3170,,https//planning.lacity.org/eir/publication/Pub_110801.htm#3170
108,2001-11-08,ENV-2001-3709,24 Catamaran Street; Venice,CD6,ENV-2001-3709,,https//planning.lacity.org/eir/publication/Pub_110801.htm#3709
109,2001-11-08,ENV-2001-3756,6501 Foothill Blvd; Sunland-Tujunga-Lakeview Terrace-Shadow Hills,CD2,ENV-2001-3756,,https//planning.lacity.org/eir/publication/Pub_110801.htm#3756
110,2001-11-08,ENV-2001-3832,6101 Wilbur Ave; Reseda-West Van Nuys,CD3,ENV-2001-3832,,https//planning.lacity.org/eir/publication/Pub_110801.htm#3832
111,2001-11-08,ENV-2001-3954,8414 Tampa Ave; Northridge,CD12,ENV-2001-3954,,https//planning.lacity.org/eir/publication/Pub_110801.htm#3954
112,2001-11-08,ENV-2001-4095,20901-20927 Devonshire Street;Chatsworth-Porter Ranch,CD12,ENV-2001-4095,,https//planning.lacity.org/eir/publication/Pub_110801.htm#4095
113,2001-11-08,ENV-2001-4214,2514 Overland Ave; West Los Angeles,CD6,ENV-2001-4214,,https//planning.lacity.org/eir/publication/Pub_110801.htm#4214
114,2001-11-08,ENV-2001-4274,3319 Wilshire Blvd; Wilshire,CD10,ENV-2001-4274,,https//planning.lacity.org/eir/publication/Pub_110801.htm#4274
115,2001-11-08,ENV-2001-4292,1201-1225 E. 1 st Street; Boyle Heights,CD14,ENV-2001-4292,,https//planning.lacity.org/eir/publication/Pub_110801.htm#4292
116,2001-11-08,ENV-2001-4296,5310 Longfellow Street; Northeast Los Angeles,CD1,ENV-2001-4296,,https//planning.lacity.org/eir/publication/Pub_110801.htm#4296
117,2001-11-08,ENV-2001-4337,1050 Gayley Ave; Westwood,CD5,ENV-2001-4337,,https//planning.lacity.org/eir/publication/Pub_110801.htm#4337
118,2001-11-08,ENV-2001-4361,5222 Erskine Drive; Brentwood-Pacific Palisades,CD11,ENV-2001-4361,,https//planning.lacity.org/eir/publication/Pub_110801.htm#4361
119,2001-11-08,ENV-2001-4381,2010 Demille Drive; Hollywood,CD4,ENV-2001-4381,,https//planning.lacity.org/eir/publication/Pub_110801.htm#4381
120,2001-11-08,ENV-2001-4407,4419 North Figueroa Street; Northeast Los Angeles,CD14,ENV-2001-4407,,https//planning.lacity.org/eir/publication/Pub_110801.htm#4407
121,2001-11-08,ENV-2001-4408,4322 S. Central Ave; Southeast Los Angeles,CD9,ENV-2001-4408,,https//planning.lacity.org/eir/publication/Pub_110801.htm#4408
122,2001-11-08,ENV-2001-4477,1870-1890 S. Western Ave; South Central Los Angeles,CD10,ENV-2001-4477,,https//planning.lacity.org/eir/publication/Pub_110801.htm#4477
123,2001-11-08,ENV-2001-4528,2500 W. 8 th Street; Westlake,CD1,ENV-2001-4528,,https//planning.lacity.org/eir/publication/Pub_110801.htm#4528
124,2001-11-08,ENV-2001-4541,1845 Hyperion Ave; Hollywood,CD4,ENV-2001-4541,,https//planning.lacity.org/eir/publication/Pub_110801.htm#4541
125,2001-11-08,ENV-2001-4543,11885 Foothill Blvd; Sunland-Tujunga-Lakeview Terrace-Shadow Hills,CD7,ENV-2001-4543,,https//planning.lacity.org/eir/publication/Pub_110801.htm#4543
126,2001-11-08,ENV-2001-4694,1020 E. Florence Ave; Southeast Los Angeles,CD9,ENV-2001-4694,,https//planning.lacity.org/eir/publication/Pub_110801.htm#4694
127,2001-11-08,ENV-2001-4706,1526 W. Vernon Ave; South Central Los Angeles,CD8,ENV-2001-4706,,https//planning.lacity.org/eir/publication/Pub_110801.htm#4706
128,2001-11-08,ENV-2001-4712,1100 S. Flower Street;  Central City Los Angeles,CD9,ENV-2001-4712,,https//planning.lacity.org/eir/publication/Pub_110801.htm#4712
129,2001-11-08,ENV-2001-9917,104-108 S. Pacific Ave; San Pedro,CD15,ENV-2001-9917,,https//planning.lacity.org/eir/publication/Pub_110801.htm#9917
130,2001-11-01,ENV-2001-1565,14900 Burbank Blvd.; Van Nuys-North Sherman Oaks,CD11,ENV-2001-1565,,https//planning.lacity.org/eir/publication/Pub_110101.htm#1565
131,2001-11-01,ENV-2001-3158,10587 Wilshire Blvd.; West Wood,CD5,ENV-2001-3158,,https//planning.lacity.org/eir/publication/Pub_110101.htm#3158
132,2001-11-01,ENV-2001-3601,4925 Wilshire Blvd.; Wilshire,CD4,ENV-2001-3601,,https//planning.lacity.org/eir/publication/Pub_110101.htm#3601
133,2001-11-01,ENV-2001-3625,22555 Oxnard St.; Caoga Park-Winnetka-Woodland Hills-West Hills,CD3,ENV-2001-3625,,https//planning.lacity.org/eir/publication/Pub_110101.htm#3625
134,2001-11-01,ENV-2001-3645,10025 Topanga Canyon Blvd.; Chatsworth-Porter Ranch,CD12,ENV-2001-3645,,https//planning.lacity.org/eir/publication/Pub_110101.htm#3645
135,2001-11-01,ENV-2001-3721,147 Ocean Ave.; Brentwood-Pacific Palisades,CD11,ENV-2001-3721,,https//planning.lacity.org/eir/publication/Pub_110101.htm#3721
136,2001-11-01,ENV-2001-3750,1050 Norman Place; Brentwood-Pacific Palisades,CD11,ENV-2001-3750,,https//planning.lacity.org/eir/publication/Pub_110101.htm#3750
137,2001-11-01,ENV-2001-3806,5300 Cold Water Canyon Ave.; Van Nuys-North Sherman Oaks,CD5,ENV-2001-3806,,https//planning.lacity.org/eir/publication/Pub_110101.htm#3806
138,2001-11-01,ENV-2001-3865,2815 East Whittier Blvd.; Boyle Heights,CD14,ENV-2001-3865,,https//planning.lacity.org/eir/publication/Pub_110101.htm#3865
139,2001-11-01,ENV-2001-3943,6649-6751 Odessa Ave.; Reseda-West Van Nuys,CD3,ENV-2001-3943,,https//planning.lacity.org/eir/publication/Pub_110101.htm#3943
140,2001-11-01,ENV-2001-4025,2608 South San Pedro Street; Southeast Los Angeles,CD9,ENV-2001-4025,,https//planning.lacity.org/eir/publication/Pub_110101.htm#4025
141,2001-11-01,ENV-2001-4085,1417 West 3rd St.; West Los Angeles,CD1,ENV-2001-4085,,https//planning.lacity.org/eir/publication/Pub_110101.htm#4085
142,2001-11-01,ENV-2001-4308,South Arlington Ave.& W. 37th Place; West Adams-Baldwin Hills-Leimert,CD10,ENV-2001-4308,,https//planning.lacity.org/eir/publication/Pub_110101.htm#4308
143,2001-11-01,ENV-2001-4352,8664-8666 W.Pico Blvd.; Wilshire,CD5,ENV-2001-4352,,https//planning.lacity.org/eir/publication/Pub_110101.htm#4352
144,2001-11-01,ENV-2001-4419,3341 La Cienega Place; West Adams-Baldwin Hills-Leimert,CD10,ENV-2001-4419,,https//planning.lacity.org/eir/publication/Pub_110101.htm#4419
145,2001-11-01,ENV-2001-9928,10715-25 & 27 Camarillo Street; North Hollywood,CD4,ENV-2001-9928,,https//planning.lacity.org/eir/publication/Pub_110101.htm#9928
146,2001-10-25,multiple,multiple,multiple,multiple,,https://planning.lacity.org/eir/publication/pub_102501.pdf
147,2001-10-18,multiple,multiple,multiple,multiple,,https://planning.lacity.org/eir/publication/pub_101801.pdf
148,2001-10-11,multiple,multiple,multiple,multiple,,https://planning.lacity.org/eir/publication/pub_101101.pdf
149,2001-10-04,multiple,multiple,multiple,multiple,,https://planning.lacity.org/eir/publication/pub_100401.pdf
150,2001-09-27,multiple,multiple,multiple,multiple,,https://planning.lacity.org/eir/publication/Pub_092701.pdf
151,2001-09-20,multiple,multiple,multiple,multiple,,https://planning.lacity.org/eir/publication/Pub_092001.pdf
152,2001-09-13,multiple,multiple,multiple,multiple,,https://planning.lacity.org/eir/publication/Pub_091301.pdf
153,2001-09-06,multiple,multiple,multiple,multiple,,https://planning.lacity.org/eir/publication/Pub_090601.pdf
154,2001-08-30,multiple,multiple,multiple,multiple,,https://planning.lacity.org/eir/publication/pub_083001.pdf
